Country,Country Key,Year,Flexibility and adaptability (WCY)
China Mainland,CN,1995,-
China Mainland,CN,1996,-
China Mainland,CN,1997,4.11
China Mainland,CN,1998,5.27
China Mainland,CN,1999,4.6
China Mainland,CN,2000,4.04
China Mainland,CN,2001,4.27
China Mainland,CN,2002,5.31
China Mainland,CN,2003,4.73
China Mainland,CN,2004,5.35
China Mainland,CN,2005,5.02
China Mainland,CN,2006,5.52
China Mainland,CN,2007,6.25
China Mainland,CN,2008,5.44
China Mainland,CN,2009,5.63
China Mainland,CN,2010,5.56
China Mainland,CN,2011,5.76
China Mainland,CN,2012,6.29
China Mainland,CN,2013,6.29
China Mainland,CN,2014,6.2
China Mainland,CN,2015,5.9
China Mainland,CN,2016,5.95
China Mainland,CN,2017,6.83
China Mainland,CN,2018,6.76
Indonesia,ID,1995,-
Indonesia,ID,1996,-
Indonesia,ID,1997,6.6
Indonesia,ID,1998,6.13
Indonesia,ID,1999,4.92
Indonesia,ID,2000,5.47
Indonesia,ID,2001,5.8
Indonesia,ID,2002,5.42
Indonesia,ID,2003,4.53
Indonesia,ID,2004,5.14
Indonesia,ID,2005,4.89
Indonesia,ID,2006,5.29
Indonesia,ID,2007,5.83
Indonesia,ID,2008,5.26
Indonesia,ID,2009,5.71
Indonesia,ID,2010,6.18
Indonesia,ID,2011,6.24
Indonesia,ID,2012,6.73
Indonesia,ID,2013,6.58
Indonesia,ID,2014,7.21
Indonesia,ID,2015,6.31
Indonesia,ID,2016,6.56
Indonesia,ID,2017,6.62
Indonesia,ID,2018,6.2
Korea Rep.,KR,1995,-
Korea Rep.,KR,1996,-
Korea Rep.,KR,1997,6.62
Korea Rep.,KR,1998,6.21
Korea Rep.,KR,1999,5.35
Korea Rep.,KR,2000,6.86
Korea Rep.,KR,2001,6.03
Korea Rep.,KR,2002,6.76
Korea Rep.,KR,2003,5.92
Korea Rep.,KR,2004,7.17
Korea Rep.,KR,2005,6.43
Korea Rep.,KR,2006,5.87
Korea Rep.,KR,2007,5.52
Korea Rep.,KR,2008,6.14
Korea Rep.,KR,2009,6.89
Korea Rep.,KR,2010,6.71
Korea Rep.,KR,2011,6.96
Korea Rep.,KR,2012,6.7
Korea Rep.,KR,2013,6.64
Korea Rep.,KR,2014,5.94
Korea Rep.,KR,2015,5.98
Korea Rep.,KR,2016,5.87
Korea Rep.,KR,2017,5.71
Korea Rep.,KR,2018,5.83
Malaysia,MY,1995,-
Malaysia,MY,1996,-
Malaysia,MY,1997,8.06
Malaysia,MY,1998,6.98
Malaysia,MY,1999,7.16
Malaysia,MY,2000,6.6
Malaysia,MY,2001,5.82
Malaysia,MY,2002,7.38
Malaysia,MY,2003,7.21
Malaysia,MY,2004,7.25
Malaysia,MY,2005,6.69
Malaysia,MY,2006,6.85
Malaysia,MY,2007,7.14
Malaysia,MY,2008,7.09
Malaysia,MY,2009,6.57
Malaysia,MY,2010,7.83
Malaysia,MY,2011,7.58
Malaysia,MY,2012,7.58
Malaysia,MY,2013,7.86
Malaysia,MY,2014,7.31
Malaysia,MY,2015,6.91
Malaysia,MY,2016,7.19
Malaysia,MY,2017,6.87
Malaysia,MY,2018,6.95
Thailand,TH,1995,-
Thailand,TH,1996,-
Thailand,TH,1997,6.61
Thailand,TH,1998,6.31
Thailand,TH,1999,6.8
Thailand,TH,2000,6.71
Thailand,TH,2001,7.02
Thailand,TH,2002,7.14
Thailand,TH,2003,6.64
Thailand,TH,2004,6.9
Thailand,TH,2005,6.95
Thailand,TH,2006,6.84
Thailand,TH,2007,6.38
Thailand,TH,2008,6.17
Thailand,TH,2009,6.33
Thailand,TH,2010,6.7
Thailand,TH,2011,6.97
Thailand,TH,2012,7.15
Thailand,TH,2013,6.89
Thailand,TH,2014,6.77
Thailand,TH,2015,6.11
Thailand,TH,2016,6.52
Thailand,TH,2017,6.48
Thailand,TH,2018,6.71
