"Data Source","World Development Indicators",

"Last Updated Date","2018-09-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1005027932.96089","1141899441.34078","1224022346.36872","1321229050.27933","1392737430.1676","1458212290.50279","1324284916.20112","1316033519.55307","1347128491.62011","1432167597.76536","1527994413.40782","1816625698.32402","1888111731.84358","2005849162.01117","2091921787.7095","1906100558.65922","1846245810.05587","2233916201.11732","","","","","","",
"Afghanistan","AFG","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","37777780","44444446.6666667","51111111.1111111","126666717.777778","144444451.111111","215555548.888889","259999993.333333","237777784.444444","208888900","211111117.777778","208888900","295555548.888889","288888877.777778","255555562.222222","320000000","337777777.777778","380000006.666667","437777795.555556","457777788.888889","","","","","","","","","","","","","","","","","","","","","","","","2695612252.62127","4324401127.67307","4605719092.37761","4861120343.09478","5228625785.02331","5743886682.20313","5612184211.71432","5269393819.49365","7162552542.92059","7924080689.13243","8038495177.94393","10083041877.5552","9436790253.11516","9377504680.44354","9544683716.18127","",
"Angola","AGO","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","3342245989.30481","3342245989.30481","3342245989.30481","3342245989.30481","3342245989.30481","3342245989.30481","3029652726.05627","4153905486.79424","2923603206.87224","3078876576.58247","","","","","","5738980003.82281","6697298360.22468","7082117702.19296","8801254049.59099","10634511751.06","15144224756.7953","16288813596.4394","26304726742.7232","43121503223.8976","41829336856.2504","35421230674.4848","43898310317.3691","45836081199.9832","49190381513.1431","53537929897.9476","37845115012.6561","28045505039.2102","34344926764.0574",
"Albania","ALB","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","372867136.182956","362610725.835338","336224987.5","335624987.5","408575012.5","483800000","487500000","314316659.722222","627952433.94529","764996711.818738","773426393.922004","836744255.238814","1061577473.06431","806850764.826176","937667487.430537","1099997512.67198","1382114188.10066","1583646804.95615","1966308371.87638","2590993958.27175","3245963304.00329","3872963233.31361","4363324818.50782","5862891872.97283","6717536051.18804","6004542099.70509","5792205618.05104","6700292383.17062","5860852653.70487","5999411367.79387","6243050762.61481","5071014156.78529","5436290838.0719","6070283972.16786",
"Andorra","AND","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","172546575057.588","191607915041.608","202354343913.893","204938080473.167","204578298482.845","197412774982.397","216480200936.702","219951906401.333","234582897347.294","270024844395.983","346396340922.558","424384917689.058","503390193050.898","657063270480.061","849222315536.842","760918337728.62","806594386036.5","910963251732.187","1024722964981.54","1103863762220.56","1162847684723.08","1081907430166.66","1010855570076.32","1036747832207.08",
"United Arab Emirates","ARE","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42053369639.2104","47845064669.8434","57668073519.401","78428046289.9932","93862491490.8101","112930428863.172","166134240980.259","219714363512.594","187139823008.85","184220830496.937","217470660313.138","242812253233.492","253217426820.967","277903335602.451","266276378488.768","270442477876.106","277086453369.639",
"Argentina","ARG","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","2294367226.53985","1441753153.10994","1424602863.7313","1176470539.39431","1428571371.44429","1212121237.48041","1428571474.83812","2000000041.3448","1495789482.224","2199999958.62685","2374999979.49003","3000000101.96424","4555555489.85516","3135135020.645","3030000057.09425","4159999872.70227","3319672098.15378","4383512570.58549","4989980079.95196","5800000170.81341","5497685333.13496","6068376037.18012","3762000095.03612","5546666806.78726","7015555449.2007","8417142923.96163","7839772666.04089","5042239480.95944","6546483925.69926","11531201153.6445","18606904906.1175","22049649549.5495","27299750000","26038000000","30148250000","37413750000","38667250000","32762500000","33070250000","27604000000","13065794410.0544","18772867664.5284","27736672323.6712","34392237786.5721","40480743015.8524","52567536062.3157","66316154417.0834","48268743529.5373","67937933972.3653","88839174034.695","78013690406.706","81240190816.9153","73691675720.0984","70064879911.7042","75117526486.97","88215840247.5845",
"Armenia","ARM","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1045655213.47519","1243607801.03366","779530102.320233","729847869.303232","961391389.438389","913101534.060047","894135848.371362","955405596.960185","1000634305.05451","919089981.205606","966167152.382789","977647641.696393","1107060085.46263","1404513018.98854","1620291873.65264","2118458710.52897","2505910483.69341","3604342095.147","4741291122.57631","3718993413.68018","4196501101.93612","4802696584.08879","5139753188.43898","5360220562.33288","5461874861.45165","4418183191.56224","4510568833.94847","5814385423.82235",
"American Samoa","ASM","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","559000000","571000000","567000000","614000000","634000000","621000000","754000000","556000000","537000000","559000000","643000000","641000000","678000000","657000000","615000000","",
