"Extended Year Set - Patent Counts By Country, State, and Year?",,,,,,,,,U.S. PATENT AND TRADEMARK OFFICE
Utility Patents,,,,,,,,,Patent Technology Monitoring Team (PTMT)
(December 2015),,,,,,,,,
,,,,,,,,,
Granted: 01/01/1963 - 12/31/2015,,,,,,,,,
A Patent Technology Monitoring Team Report,,,,,,,,,
,,,,,,,,,
COUNTRY,YEAR,UP,,,,,,,
KOR,1963,0,,,,,,,
KOR,1964,3,,,,,,,
KOR,1965,2,,,,,,,
KOR,1966,2,,,,,,,
KOR,1967,0,,,,,,,
KOR,1968,2,,,,,,,
KOR,1969,0,,,,,,,
KOR,1970,3,,,,,,,
KOR,1971,2,,,,,,,
KOR,1972,7,,,,,,,
KOR,1973,5,,,,,,,
KOR,1974,7,,,,,,,
KOR,1975,13,,,,,,,
KOR,1976,7,,,,,,,
KOR,1977,6,,,,,,,
KOR,1978,13,,,,,,,
KOR,1979,5,,,,,,,
KOR,1980,8,,,,,,,
KOR,1981,17,,,,,,,
KOR,1982,14,,,,,,,
KOR,1983,26,,,,,,,
KOR,1984,30,,,,,,,
KOR,1985,41,,,,,,,
KOR,1986,46,,,,,,,
KOR,1987,84,,,,,,,
KOR,1988,96,,,,,,,
KOR,1989,159,,,,,,,
KOR,1990,225,,,,,,,
KOR,1991,405,,,,,,,
KOR,1992,538,,,,,,,
KOR,1993,779,,,,,,,
KOR,1994,943,,,,,,,
KOR,1995,1161,,,,,,,
KOR,1996,1493,,,,,,,
KOR,1997,1891,,,,,,,
KOR,1998,3259,,,,,,,
KOR,1999,3562,,,,,,,
KOR,2000,3314,,,,,,,
KOR,2001,3538,,,,,,,
KOR,2002,3786,,,,,,,
KOR,2003,3944,,,,,,,
KOR,2004,4428,,,,,,,
KOR,2005,4351,,,,,,,
KOR,2006,5908,,,,,,,
KOR,2007,6295,,,,,,,
KOR,2008,7548,,,,,,,
KOR,2009,8762,,,,,,,
KOR,2010,11671,,,,,,,
KOR,2011,12262,,,,,,,
KOR,2012,13233,,,,,,,
KOR,2013,14548,,,,,,,
KOR,2014,16469,,,,,,,
KOR,2015,17924,,,,,,,
CHN,1963,4,,,,,,,
CHN,1964,3,,,,,,,
CHN,1965,4,,,,,,,
CHN,1966,2,,,,,,,
CHN,1967,9,,,,,,,
CHN,1968,5,,,,,,,
CHN,1969,5,,,,,,,
CHN,1970,6,,,,,,,
CHN,1971,15,,,,,,,
CHN,1972,8,,,,,,,
CHN,1973,10,,,,,,,
CHN,1974,22,,,,,,,
CHN,1975,0,,,,,,,
