Country,Year,Royalty
CHN,2004,4496604796
CHN,2005,5321253863
CHN,2006,6634081020
CHN,2007,8192067402
CHN,2008,10319466356
CHN,2009,11065271082
CHN,2010,13039546459
CHN,2011,14706108691
CHN,2012,17748983437
CHN,2013,21033078371
CHN,2014,22613800782
IDN,2004,990320000
IDN,2005,960870000
IDN,2006,872228637
IDN,2007,1085450000
IDN,2008,1327681814
IDN,2009,1530107289
IDN,2010,1616459043
IDN,2011,1787966703
IDN,2012,1800089222
IDN,2013,1736373354
IDN,2014,1861866472
KOR,2004,4598100000
KOR,2005,4720000000
KOR,2006,4776500000
KOR,2007,5334400000
KOR,2008,5823400000
KOR,2009,7355600000
KOR,2010,9182900000
KOR,2011,7415000000
KOR,2012,8616600000
KOR,2013,9836800000
KOR,2014,10546000000
MYS,2004,895618421.1
MYS,2005,1369655659
MYS,2006,954002498.6
MYS,2007,1185193311
MYS,2008,1267781217
MYS,2009,1133119333
MYS,2010,1318006092
MYS,2011,1634190362
MYS,2012,1543302849
MYS,2013,1395327002
MYS,2014,1423860804
THA,2004,1583825523
THA,2005,1676210000
THA,2006,2046760000
THA,2007,2288640000
THA,2008,2567130000
THA,2009,2247540000
THA,2010,3080540000
THA,2011,3121260000
THA,2012,3609710000
THA,2013,4593400000
THA,2014,3970840000
